file_name,model_type,window_size,sample_rate,duration_sec,time_sec,latent_dim_1,latent_dim_2,hyperparams_json
89.9_2_.wav,autoencoder,256,44100,1.9021768707482993,0.2824464119998993,-1.0456708669662476,0.04504312202334404,"{""hidden_dim"": 124}"
89.7_3_.wav,autoencoder,256,44100,1.9021768707482993,0.2687331140000424,-0.1284971386194229,0.34506335854530334,"{""hidden_dim"": 124}"
89.7_1_.wav,autoencoder,256,44100,1.9021768707482993,0.273161553999671,-0.17105156183242798,0.05922003835439682,"{""hidden_dim"": 124}"
89.7_4_.wav,autoencoder,256,44100,1.9021768707482993,0.2600313550001374,0.008012179285287857,-0.013605264946818352,"{""hidden_dim"": 124}"
89.7_5_.wav,autoencoder,256,44100,1.9021768707482993,0.27658211700008906,-0.228815957903862,0.03224031999707222,"{""hidden_dim"": 124}"
89.9_3_.wav,autoencoder,256,44100,1.9021768707482993,0.2712119900002108,1.1859246492385864,-0.033044587820768356,"{""hidden_dim"": 124}"
89.7_0_.wav,autoencoder,256,44100,1.9021768707482993,0.4250076749999607,-0.018804028630256653,-0.17443065345287323,"{""hidden_dim"": 124}"
89.7_2_.wav,autoencoder,256,44100,1.9021768707482993,0.34462931399957597,0.1706445962190628,0.014061094261705875,"{""hidden_dim"": 124}"
89.9_1_.wav,autoencoder,256,44100,1.9021768707482993,0.3193278009998721,-1.4380271434783936,-0.2711072862148285,"{""hidden_dim"": 124}"
89.9_0_.wav,autoencoder,256,44100,1.9021768707482993,0.290484065000328,-0.9824981093406677,0.06264737993478775,"{""hidden_dim"": 124}"
89.9_4_.wav,autoencoder,256,44100,1.9021768707482993,0.44863986000018485,-0.02002689056098461,1.284601092338562,"{""hidden_dim"": 124}"
89.9_5_.wav,autoencoder,256,44100,1.9021768707482993,0.31113074999984747,-0.3711874186992645,-1.1645479202270508,"{""hidden_dim"": 124}"
